I/E,N/S,T/F,J/P,Essay
I,N,T,J,"In this Essay I will be discussing my personal experience in regards to being at the Academy and how its been like meeting all these new people especially for an introverted person as I am. I will speak about all the different teams I have been in, how different they were and how different I felt in them, what I have learned from all these different characters. I will be comparing the decision making that was done in teams versus my personal decision making.

Getting on a plane to Cape Town without a place to stay and no friends in the City was a big risk, the only certain plan I had was the Academy and with that I kept praying that it want a scam or a plot to get me to specific building then get kidnapped. I was fairly surprised to get here and meet people from all walks of life, who were also kind of questioning if this was legit or not, I mean its hard not to question it, it sounded way too good to be true and such good things we had learned don’t happen to people like us, but i guess it was our time to shine and receive blessings. That’s what I think of the Academy, its a blessing. With that being said, my experience at the Academy has had its ups and downs but what I like most about it is that it always ends with an up.I have learned A LOT, I have fallen in love with Data Science, I am doing things that my small mindedness used to consider was only for geek’s. I have learned to push myself, to always try and learn more, practice more because computers are always evolving.

Since I have met people with different personalities at the Academy, personality clashes has occurred which was 1 of my biggest lessons here, being able to work with different people who have different personalities. 

Working in teams wasn’t as easy as I thought it would be at first, everyone had their own idea of what they assumed was supposed to be done we all had different opinions which could not be dismissed because everyone's opinion is valuable when working in a team, but our opinions somehow seemed to clash. Working in teams has taught me to be patient, a quality I did not possess whatsoever. The second time we changed teams though it seemed as though everyone had gotten an idea of what working in teams shouldn’t be like, we were all basically just dipping our toes in this working in teams thing the first sprint, but the second sprint we were a bit more confident which meant we worked better with our second teams, improving as we go.

With both the teams that I have been with, we split the work equally amongst each other, making sure that everyone gets a chance to tackle the most important lessons like coding and the dashboard. We have a group Coordinator whom after we state our views, he/she would speak to our supervisor and a decision would be made in that way, the supervisor would guide us in the right direction after hearing what we thought was the right way.Its almost the same concept I use I guess when making decisions, I weigh all my options, see which one is best and which one has the worst outcome and I obviously go with the best outcome.

In conclusion the working in teams skill I am gaining is developing everyday,
I haven’t mastered it, heck its difficult to master it with so many personalities out there, but I am getting there."
I,,T,,"My experience at the academy this far has been stressful yet fun. I'm not one who enjoys working with groups, if it were up to me i'd be working on my own at all times. Starting the first sprint reminded me why I prefer working alone. We were not working as a group and certain people did not carry their weight, which was even more frustrating. However, I too am to blame as I did not speak up and let my concerns be heard. In the end some of us saw no other way but to tackle the task at hand and work towards finishing the assignments given. 

The last group I was in was the complete opposite. We only had three weeks to complete a sprint and therefore knew we had to work as a collective. Tasks were split and each one was accountable for a part in the project. We ended up working well together and got along outside of work as well. why it did not work with my previous group? I do not know why, but I look forward to working with different people with different dynamics."
I,N,T,P,"My experience at the Academy has been enjoyable so far. I am learning a lot of interesting and valuable skills and meeting many intelligent and interesting people. Meeting and working with new people has been a lot of fun and a rewarding experience. Working in the lab can be challenging. The open plan allows for many very diverse and unusual conversions to easily be started or joined but can also prevent work being done as people can interrupt or prevent others from entering or staying in a state of flow necessary for learning. This is especially destructive for slower learners like myself. Working in teams has also been challenging but very insightful. It is sometimes tricky setting up and understanding the team dynamics in new teams especially with people you don’t know very well, and so any practice in working in teams is always appreciated because team dynamics are not always easy for me to decipher or understand.  Decisions have been made as a group (at least that is my feeling) without one person in charge giving orders. This could also be in part because we are all still learning but I try to make effort so that each person in my group feels that their opinion is asked for and heard and so that decisions made are group decisions and everyone has the opportunity to raise differing opinions or votes of support. This is consistent with the way that I enjoy making decisions because I think it allows everyone to feel involved and dedicated to the outcome and everyone can have some feeling of what others in the group think or feel about the decisions being made. I cannot say if the decision making has been more rational or emotional as I do not know how to accurately determine that. Maybe it has been a mix of both, though slightly leaning towards rational."
E,S,F,P,"This journey has been exciting. The stress has been constructive in the sense that it has forced me to work. Everyday I am excited to come to the academy to interact with all the vast personalities this class has to offer. Given the nature of the work, some days are really tough and other days are really good (especially when my code is running). The academy has taught me more about myself, testing my limits and my understanding. 

My whole life I've always been a team player. Although I don't like being in charge, I somehow found myself in leadership positions based on my assertiveness and it became a norm. It was shocking finding myself in the opposite position during the first sprint. There was zero communication whatsoever, and this made me feel uncomfortable as I couldn't share my thoughts and my feelings, however we found a way to work well as a collective. 

It took me forever to wrap my head around the content of our work and for that reason it made me feel futile. Due to lack of communication, people did what they felt was the right thing to do, then we would later put everything together. In my opinion, I think there should have been a structure, or a leader who would keep us on track. The way decisions were made, we shared responsibilities based on people's strengths and weaknesses. We equally made decisions and that has led to our productivity, but sometimes there would be disagreements. At times, it would be emotionally draining, but from every low, there was growth. 

Throughout the roller coaster journey, there's been nothing but growth, understanding and learning. Understanding the workplace, understanding my colleagues and understanding myself."
I,N,F,P,"When we started at the academy the workload was easily manageable and most students were able to keep up with the learning curve, whereas those who struggled either asked their peers and caught up, or didn't and got stuck behind the pack. As the workload and difficulty increased, I was able to keep up as I have a better programming foundation than others in the course. Although this might have helped me a lot, it appeared to be a blessing and a curse. I found myself losing a lot of time which could have been spent on work, helping students (which is not a bad thing), but the questions that were asked were off topic from what I was currently working on and I found it difficult to get back in line with what I was doing.

When decision in teams need to be made, it seemed to be a myth. I had a team where I needed to carry a lot more of the workload than the rest of the team members in order to get the scores I wanted, trying to teach my team a thing or two a long the way. I had a similar situation the second sprint, not as severe, but where 2 members of the team got off to a flying start, the other 2 did more spectating than participating and one eventually found his feet and ended with a bang, where the last member, I felt, never contributed to the final ""prediction"", more than speculations. This is quite frustrating as I do like working in teams, however only when each members
 carries their own weight.

It might sound selfish, but I just don't want this affecting my results by much as it is my goal for this year to be 1 of the 30 students that will be going to BCX. I feel I am working hard enough and spending more than enough time working, but I am still not very happy with what we ultimately hand in or present as a group.

Finally I am very happy with the course content. The course has already taught me a lot more about data science than I thought I knew and can't wait for what is to come. This is an awesome experience and am happy I chose to do this."
I,S,T,P,"It is intimidating meeting so many new people all at once, especially with all the wildly different personalities and backgrounds. Sharing a work space is sometimes challenging when not everyone shares the same views on how a communal space should be treated in terms of cleanliness and keeping noise levels down. I have not interacted with a lot of people, only a small number of individuals who are like me in background and temperament. Team dynamics are by far the most challenging part of the course. I particularly struggle when team-members lack self-motivation and work ethic. I have found that often instead of insisting on a team member pulling their weight I would rather just do the task myself. I tend to feel that if someone lacks the motivation to do something on their own they are unlikely to perform the task to the best of their abilities. I also seem to have little confidence in others completing a task the way I would like it to be done. Generally, decision making in teams has been easy but this is mostly due to apathy or uncertainty surrounding the decision on behalf of most team members. I found this frustrating since this often lead to a very one-sided discussion and resulted in unspoken dissatisfaction with the resultant product. The decisions were also often ignored later, while I dont mind changing decisions I believe it should be communicated and that completing the project still be paramount. I feel that I often have a good sense of what is required to complete a project and that I can communicate these steps to team members, however I rarely have the self-assurance to properly delegate tasks and hold people accountable when they do not meet deadlines or complete the task at all."
E,N,F,J,"Coming to the academy has been the best thing that has ever happened to me and I am grateful for the opportunity.
when I learned that the academy is going to encourage teamwork I was excited to meet new people from different spheres of life and exchange ideas and network while at it.

working in teams for me was thus far ok. the most things I like about the team was the commitment to work and the work ethic thereof. when it comes to decision making I didn't enjoy the part as I felt a sense of dictatorship where a member would defy the group's decision and still want to impose what is best for a team and start delegating work to teammates based on their own vision. I felt that it defied the purpose of brainstorming and planning our objectives. 

the role that I played the most in the team was to always conscientize the group about the imperativeness of working within the scope and prioritizing on what is required of us and that should form a basis of we are going to structure our project and it would help with decision making.

In most supervisor meetings the reporting was based on ""I did that"", ""he did that"". for me that was a sign of individualism for a collective project it perpetrated unnecessary competition.

i enjoyed networking with a variety of people in the academy and having to also participate and win a hackathon hosted by the city of Capetown was one of the best networks and team collaborations that went well for me. 

i like having random conversations about technology and trying to link all of that to what we do here and there were few whom we'd connect on such inspire each other. 

A brief summary of how I work is i prefer to plan and try as much as possible to stick to the plan and always have a room for changes. consolidation is key and it helps in deciding between conflicting ideas."
I,N,T,J,"These past few months has been one of the most challenging but thrilling experience of my life. Coming here, I expected to engage more with people and I knew that being an introvert myself, this experience at the academy would force me to be more engaging with people. Something totally outside my comfort zone. But I was ready; not so much prepared, but I was ready to be challenged and I understood that growth is reached in the most uncomfortable spaces. This experience has taught me more than I could have imagined. I have learnt to be fearless and embrace the greatness that is within me. I come across as very shy, but the willingness to push myself into things that enabled me to speak up in a room full of people has made me realize that I do not get nervous about things I cannot do but in actual fact I get nervous about the things I am capable of but can also fail. In a way I am scared not of my inabilities but of my own potential. I understand that I still have a lot to learn as I am not fully comfortable with what I know now as I feel there is still a lot of knowledge to be gained. Coming from a bit of theoretical statistical background, it is interesting to see how all these techniques learnt in university can be applied in real world scenarios. Coming into this space, a space full of well equipped individuals, I felt a bit intimidated as I had no idea where my career was going and I lacked confidence about what I do and what I am really good at. This experience so far has definitely  given me a better understanding of my skill set and where my career can take me, but most importantly I have come to learn that I am not alone. And being able to meet lots of people who also are in a similar situation with me, has simply shown me that my worries are not worth worrying about and that things will fall into place. The environment here is quite relaxed, yet it has taught me how to behave and be professional in the workplace. The support from my peers has also been tremendous. Just observing everyday events with my supervisors has taught me more about teamwork, and how people can come together and get things done . Although sometimes I have to remind myself to use my inside voice, I feel I am adapting to the environment relatively well. Going forward, I expect to learn more and further develop my skills."
I,N,F,J,"My experiences at the Explore Data Science Academy

My experience of  meeting lots of new people has been a great one, it has only been a few months and I have already learned a lot from them, and I continue to do so on a daily level. In terms of meeting new people there is so much to gain, especially in terms of being offered  different perspectives, it has challenged my way of thinking. This has also taken me out of my comfort zone which in turn has taught me a lot more about myself and how to handle different personalities. 

My experience of  working together in the lab and in teams is much appreciated as it as close to as a real world experience, I've already been in a similar environment throughout University and have always found it enjoyable to interact with people. My level of productivity and performance has exponentially increased, mainly because of deadlines that I needed to meet and not wanting to disappoint my teammates, generally working with others helps with achieving more than as an individual. I can say that my interpersonal skills have increased, for example speaking and listening to others. I have come to realize that collaborating with others has helped identify my strengths and weaknesses, I am basically more self-aware. 

My experience of how decisions have been made in the teams I was/am in and how consistent that is with how I like to make decisions. A lot of the people here are considerate and we all want to attain the same goal, what I appreciated is, so far the people I have worked with take the time to listen to what a person has to say and try to take it into consideration where it is relevant and concise, there after decisions were made depending on how everyone felt.

 My experience of how rational or how emotional the decision-making process has been. Most of the decisions that were made were rational but as a group we took the time to take people’s emotions into consideration where possible. It’s obvious that we did not always agree completely on certain things, but when such occured, time was taken to explain to the other person why doing things in a certain way was more beneficial than the way the disagreeing member thought. Accepting the possibility of being incorrect has been an important role, especially when it comes to working with others.  

In conclusion, my experience was more positive than anything at the academy."
E,N,F,P,"My experience so far has been great though at first i was a bit anxious and excited about the whole program, working in teams was challenging at first still is but it is becoming less and less challenging, so far the groups i have been in so far are completely different and that's interesting in terms of knowing what works and what doesn't, also it helps on experiencing the different thinking processes..."
I,N,F,P,"My experiences at the EDSA
My experience s of the academy has been very intense, interesting and fun.
Even though I have only met a small subset of people at the academy, it has been great to have gotten to know them during this time. What is also particularly interesting, has been seeing how different everyone’s background and perspective is. Learning about where they come from and where they want to be in life and why they chose to be apart of the academy.
Working in the lab has been a great experience, and in reminds me of when I worked in an open plan office space and I feel like it’s a great comfortable environment to work in. it has also proven difficult at times, with slow computers and being in a noisy environment keeping focused can sometimes be tricky, but the views of the mountain are really great so I can’t complain too much.
 With regards to the team and dynamics, the two groups I have been a part of have been very different in terms of how we worked, however there was some overlap of the dynamics. One dynamic that I found between the two groups was that the more extroverted individuals for both groups took on a leadership role early on and the team took cues from them in each of the two groups and pushed for them to be in the leadership role. but for the most part the groups have had more introverted individuals than extroverted ones. So there hasn’t been any major conflicts or clashes for dominance.
For the first group there were differences in some of the personalities which caused some friction and conflict. Despite this, we all got a long and worked together cohesively to meet our goals. its natural that some personalities would create conflict but we never lost sight of why we were there.
With regards to the Decision making with the two groups. For the first group there was a lot of uncertainty in terms of what to do our how to approach problems which created an environment of aimlessness and uncertainty at times. With the second group we came to the consensus that based off of the strengths of the team members we would allocate roles accordingly. Decisions for the first group were made based on high emotions and what I think was caused by being in a new environment learning new skills and which created stress, this coupled with trying to meet the deliverables made tensions high. Whereas with the second group came to our decisions based on a more logical approach.
I would say that overall our decision making has been rational we tried to deal with our problem statements in a thoughtful planned manner which would allow us to cope and coordinate responsibilities effectively."
I,N,T,P,"Being at the data science academy has been an amazing path so far, Being into one room with people who are ambitious and love learning has got me all excited about the work we are doing and also having supervisors and facilitators who are determined and love their job motivates me even further and keeps me thrilled to be like them one day. 

I am very thankful to be part of the academy, because there is so much to learn everyday and it has proven to me that you do not need a specific field or a certain level of education to be a data scientist, the way the academy has been structured to have students in all fields with various level of education I think it was a great idea, because I would see someone who never studied computer science or statistics knowing a concept better than me who have those degrees, so in brief I can say all you need in order to survive at the academy is to be focused and know what is expected of you everyday.

I have been fortunate enough to be placed in teams of people who are determined and I have never struggled to get my group mate to deliver what is expected of them, hence I said most people at the academy are focused and know what they are there for. So I think the selection team did a very good job in placing us at the academy.

I appreciate also the fact that as much as the supervisors and facilitators are busy, they are always accessible when they help us and they do their work with passion, so I see myself getting better and better each day to become a data scientist and I am certain that by the end of the year I will be at the level at which corporate expects me to be.

The academy has coaching sessions that assists if I come across obstacles during the program, be it work related or personal problems, I have someone that I can talk to and share all the predicaments I am going through with, I find that very helpful because the workload can be too much and you might loose track of things, especially if you have something distracting going on in your personal life, which can deviate your attention from work,so I think the service is very useful and personally I have used it and had a load off my shoulders after I shared my problems with someone I trust will not judge or share my problems with anyone.

Being randomly placed in teams I believe will help us come across different personalities about people and learn to work around them, so although we will all not be with people we all had hoped to be with, but I believe that this prepares us to be fit enough to deal with people we will meet in the corporate world. And also learn to assist and be patient with people who might struggle with a certain concept or also learn from others."
