,ZAR/USD,Value of Exports (USD),Value of Exports (ZAR),Value of Imports (USD),Value of Imports (ZAR),IMF Reserve Position (USD),Foreign Exchange (USD),Claims on Non-residents (USD),Liabilities to Non-residents (USD),Savings Rate,Lending Rate,Government Bonds,"Financial Market Prices, Equities Index",Consumer Price Index
2010M06,7.63,7990.45,60991.85,6893.44,52618.31,2.26,34555.5,44334.58,35813.43,3.06,10,8.99,95.49,99.82
2010M07,7.53,8238.88,62026.96,7620.14,57368.75,2.32,35679.89,49978.31,39806.39,3.01,10,8.78,96.43,100.39
2010M08,7.3,7474.4,54561.33,7723.22,56377.65,2.3,35422.52,50676.87,40939.33,2.81,10,8.17,96.5,100.53
2010M09,7.13,8351.48,59514.74,7336.47,52281.54,2.44,35979.8,54376.69,44604.17,2.62,9.5,7.92,100.18,100.67
2010M10,6.91,8673.11,59924.36,8117.12,56082.87,2.54,35937.54,57311.57,46010.41,2.89,9.5,8.03,104.24,100.82
2010M11,6.98,8909.33,62214.34,7826.78,54654.81,2.46,35102.59,56069.63,41962.31,2.45,9,8.12,108.74,100.96
2010M12,6.84,8783.69,60077.57,6776.84,46351.36,2.49,35418.75,57520.1,46846.9,2.41,9,8.38,109.48,101.1
2011M01,6.92,7307.33,50589.55,7511.6,52003.7,2.52,37338.21,50316.89,38188.05,2.84,9,8.52,111.43,101.67
2011M02,7.17,8076.64,57934.09,7996.46,57359.01,2.54,38823.5,50143.68,38989.57,2.68,9,8.7,113.23,102.24
2011M03,6.92,9610,66490.02,8863.05,61322.04,2.62,40673.98,49810.52,38537.52,2.67,9,8.94,108.76,103.51
2011M04,6.74,8777.87,59138.45,8308.7,55977.56,2.68,41525.1,51744.77,43144.51,2.72,9,8.73,112.11,103.8
2011M05,6.87,9028.33,62005.07,8889.79,61053.61,2.64,41100.96,48178.28,36759.22,2.7,9,8.56,110.32,104.37
2011M06,6.8,10046.5,68288.05,8637.9,58713.52,2.73,41119.51,49601.15,36681.14,2.71,9,8.5,107.95,104.93
2011M07,6.8,9493.86,64545.09,9271.74,63034.96,2.82,40748.6,49237.23,37082.86,2.71,9,8.55,110.42,105.79
2011M08,7.07,9623.89,68025.51,9640.45,68142.52,2.84,41232.82,54918.87,40536.41,2.74,9,8.1,103.1,105.79
2011M09,7.57,10142.41,76780.08,9212.29,69738.88,2.84,40412.98,54386.16,40759.54,2.69,9,8.25,105.29,106.35
2011M10,7.97,8707.33,69388.71,9442.36,75246.19,2.89,40422.61,57269.67,41976.72,2.73,9,8.41,106.99,107.06
2011M11,8.13,9468.44,77011.38,9956.8,80983.47,2.82,39981.87,56595.92,40230.66,2.71,9,8.47,109.9,107.21
2011M12,8.18,8533.51,69775.24,7570.64,61902.22,2.79,39847.11,57421.87,40289.15,2.7,9,8.51,110.76,107.49
2012M01,8.01,7461.12,59738.68,8974.12,71852.74,2.82,41691.56,56477.11,40552.47,2.76,9,8.4,114.93,108.06
2012M02,7.66,8601.9,65881.18,8771.81,67182.51,2.83,41929.08,53818.26,41986.03,2.75,9,8.23,117.99,108.63
2012M03,7.61,9165.76,69757.79,9301.33,70789.6,2.82,41209.52,51010.36,38320.04,2.7,9,8.37,117.53,109.76
2012M04,7.83,7657.4,59984.38,8416.85,65933.51,56.63,40446.24,50082.47,37507.18,2.7,9,8.28,117.29,110.33
2012M05,8.15,8701.92,70949.4,9399.28,76635.17,55.15,39869.9,53101.65,38519.72,2.7,9,8.28,116.29,110.33
2012M06,8.39,8478.56,71126.23,8555.56,71772.11,55.42,40148,56473.16,38784.66,2.7,9,8.16,117,110.76
2012M07,8.25,8544.36,70478.5,9142.51,75412.37,55.16,40114.52,59580.98,40948.89,2.5,8.5,7.52,117.06,110.9
2012M08,8.28,8561.66,70857.29,9579.82,79283.71,58.86,40534.84,55512.44,37540.41,2.48,8.5,7.48,121.61,111.32
2012M09,8.27,7878.84,65197.15,9119.04,75459.83,59.64,41031.89,56157.21,38714.18,2.42,8.5,7.4,122.64,112.18
2012M10,8.63,8007.77,69099.25,10278.99,88697.73,59.57,40939.82,53857,37669.63,2.45,8.5,7.67,124.67,113.03
2012M11,8.79,8725.59,76736.92,9070.4,79769.35,64.6,41045.88,56471.36,40555.73,2.4,8.5,7.64,127.77,113.31
2012M12,8.64,7771.8,67183.07,7761.61,67094.98,64.69,41182.55,53199.07,41166.55,2.42,8.5,7.37,132.05,113.74
2013M01,8.79,7047.05,61978.65,9445.32,83071.37,68.27,41665.38,52183.81,38708.71,2.46,8.5,7.26,137.74,114.02
2013M02,8.89,8065.34,71725.97,8735.04,77681.66,66.34,41204.34,52559.15,38687.58,2.43,8.5,7.29,137.67,115.02
2013M03,9.19,7935.22,72943.05,8451.04,77684.66,65.65,40822.69,50131.49,36528.21,2.46,8.5,7.39,137.7,116.44
2013M04,9.11,8306.12,75677.71,9693.37,88317.12,87.22,41813.19,52676.97,39261.13,2.63,8.5,6.97,131.99,116.72
2013M05,9.37,8073.72,75647.38,8885.67,83254.97,85.63,39734.67,50652.07,34929.46,2.64,8.5,6.96,138.53,116.44
2013M06,10.03,7702.46,77219.97,8194.65,82154.4,89.24,39041.45,50287.92,34275.14,2.61,8.5,7.94,135.18,116.86
2013M07,9.9,8781.17,86971.61,9804.15,97103.55,97.86,39375.47,51183.93,33397.76,2.64,8.5,7.97,136.95,118
2013M08,10.09,8037.82,81130.12,9485.96,95746.99,97.89,39540.92,51286.94,33482.24,2.66,8.5,8.37,143.41,118.42
2013M09,9.98,7706.77,76881.4,9179.33,91571.48,139.6,41848.29,48958.91,31717.84,2.68,8.5,8.15,148.05,118.99
2013M10,9.91,8564.66,84914.24,9919.16,98343.46,148.18,42003.2,47736.97,31683.49,2.69,8.5,7.87,150.3,119.28
2013M11,10.2,8481.86,86545.26,8862.77,90431.89,166.27,41683.53,47307.98,31710.97,2.69,8.5,8.18,152.32,119.42
2013M12,10.38,7437.97,77224.45,7531.33,78193.74,166.78,41943.12,47665.56,32826.43,2.71,8.5,8.32,149.36,119.7
2014M01,10.89,7215.19,78599.25,9083.35,98950.13,164.47,41510.53,51744.9,38981.84,2.78,9,8.48,156.08,120.55
2014M02,10.98,7740.85,85002.63,7793.85,85584.61,165.94,41969.38,48945.21,37369.87,3.06,9,8.67,156.14,121.83
2014M03,10.75,7498.19,80574.22,8920.79,95861.32,166.47,41416.93,50472.3,36528.16,3.12,9,8.52,158.09,123.39
2014M04,10.55,7354.3,77588.84,8976.24,94700.45,166.96,41504.55,47586.21,35452,3.13,9,8.41,161.88,123.96
2014M05,10.41,7599.32,79107.27,8515.55,88645.05,180.33,41518.89,48328.47,34287.81,3.16,9,8.16,165.49,124.39
2014M06,10.67,7620.1,81315.5,7902.28,84326.67,192.37,40521.95,50256.29,35410.82,3.25,9,8.34,169.21,124.81
2014M07,10.7,8121.14,86929.54,9038.07,96744.46,187.49,41884.6,47220.84,36330.45,3.26,9.25,8.25,173.3,125.81
2014M08,10.66,7409,79001.33,9280.16,98953.26,185.91,41690.64,46672.03,36411.12,3.25,9.25,8.21,172.05,126.09
2014M09,10.98,8296.07,91072.46,8956.12,98318.36,194.12,41421.83,47296.49,37453.26,3.09,9.25,8.2,171.55,126.09
2014M10,11.07,7982.24,88364.24,10407.4,115210.99,193.57,41137.27,48172.77,39104.62,3.07,9.25,8.06,161.53,126.38
2014M11,11.1,7628.2,84710.62,8485.48,94230.56,189.14,41201.71,48942.91,40669.11,3.07,9.25,7.86,168.01,126.38
2014M12,11.46,7717.45,88446.1,7413.51,84962.71,183.53,41493.14,47696.17,41481.17,3.06,9.25,7.84,163.81,126.09
2015M01,11.57,5850.92,67712.09,8236.9,95324.83,178.58,39825.45,50065.45,44996.92,2.98,9.25,7.39,163.73,125.95
2015M02,11.58,6721.75,77854.8,7721.24,89431.44,173.63,39616.07,48861.83,42413.94,2.96,9.25,7.49,173.87,126.8
2015M03,12.07,7649.36,92313.81,7911.9,95482.29,178.75,39010.99,49255.7,42003.42,2.93,9.25,7.81,174.34,128.36
2015M04,12.01,6958.72,83544.94,7551.62,90663.18,182.23,39478.21,49201.22,41124.13,2.88,9.25,7.85,179.03,129.64
2015M05,11.97,7373.2,88244.87,7354.66,88023,180.17,38991.22,48646.11,39163.97,2.79,9.25,8.08,179.19,129.78
2015M06,12.3,7302.95,89834,7280.36,89556.05,180.82,39416.31,50123.65,36378.79,2.68,9.25,8.33,172.32,130.49
2015M07,12.46,7411.53,92348.7,7990.38,99561.23,176.02,38780.93,47859.37,35912.45,2.79,9.5,8.18,169.56,131.63
2015M08,12.92,6743.95,87132.35,7952.46,102746.45,200.33,38814.96,47123.54,36880.63,2.94,9.5,8.28,162.7,131.77
2015M09,13.61,6680.86,90946.99,7230.09,98423.73,201.03,38899.56,48222.98,37716.63,2.89,9.5,8.47,160.51,131.77
2015M10,13.51,6292.78,85012.51,8361.15,112955.23,221,38711.99,45184.8,36518.11,2.97,9.5,8.28,167.88,132.06
2015M11,14.12,6605.46,93237.28,7134.42,100703.58,217.09,38213.3,44665.59,39004.7,3.09,9.75,8.49,166.36,132.34
2015M12,14.99,5838.05,87514.73,5649.06,84681.67,218.68,38922.87,48052.53,40522.44,3.18,9.75,9.34,156.98,132.62
2016M01,16.37,4335.18,70945.32,5718.1,93576.82,217.85,37937.4,47457.7,40852.15,3.3,10.25,9.62,152.78,133.76
2016M02,15.77,5456.16,86020.07,6133.52,96699.17,623.95,38082.06,44385.44,37841,3.36,10.25,9.23,154.45,135.61
2016M03,15.39,5957.78,91671.36,6359.5,97852.55,636.38,39058.59,45150.74,37640.22,3.53,10.5,9.27,162.02,136.74
2016M04,14.62,6152.4,89962.96,6626.33,96893.01,638.38,38765.66,43661.91,35580.2,3.54,10.5,9.07,163.39,138.02
2016M05,15.38,6454.97,99254.44,5895.03,90644.66,631.87,38332.86,41777.61,33295.94,3.58,10.5,9.29,164.02,138.3
2016M06,15.08,6699.2,101031.04,6467.14,97531.33,660.55,38196.36,42672.92,34484.93,3.58,10.5,9.05,162.51,139.01
2016M07,14.41,6291.54,90657.93,6582.11,94844.92,657.97,37984.93,45513.71,36602.61,3.65,10.5,8.72,161.45,140.15
2016M08,13.76,6522.62,89756.45,7561.21,104048.31,658.42,37647.18,44745.39,35275.75,3.87,10.5,8.7,160.43,140.01
2016M09,14.02,7078.31,99225.51,6933.02,97188.75,669.17,39086.74,43730.93,37174.33,3.89,10.5,8.68,160.83,140.29
2016M10,13.97,6353.08,88773.61,6918.08,96668.59,658.68,39120.62,46790.14,35149.87,4.24,10.5,8.76,160.15,141
2016M11,13.92,7149,99496.01,7588.29,105609.72,649.05,39552.49,44136.56,35709.57,4.08,10.5,8.91,153.72,141.43
2016M12,13.84,6758.08,93521.86,6128.05,84803.28,644.53,39914.65,42378.54,35331.46,4.1,10.5,8.95,152.6,142
2017M01,13.54,5922.68,80213.48,7050.68,95490.48,651.48,39076.39,42222.78,36126.45,4.17,10.5,8.75,157.76,142.85
2017M02,13.26,6595.17,87479.8,6514.78,86413.6,649.11,38957.76,42247.11,38119.57,4.26,10.5,8.73,157.13,144.41
2017M03,12.94,7821.6,101206.02,7262.78,93975.25,650.53,38870.46,42597.33,36252.55,4.32,10.5,8.3,155.44,145.12
2017M04,13.51,6735.02,91009.21,6649.22,89849.76,655.95,38839.11,40520.11,34028.76,4.33,10.5,8.82,159.07,145.26
2017M05,13.29,7731.84,102718.94,7527.94,100010.03,662.36,39375.47,41016.58,34159.76,4.36,10.5,9.09,161.57,145.69
2017M06,12.92,7901.21,102061.56,7434.06,96027.32,662.96,39558.12,42130.97,33235.58,4.4,10.5,9.06,154.3,145.97
2017M07,13.13,7058.3,92702.85,6738.95,88508.58,665.83,38869,44653.13,34924.21,4.33,10.25,9.25,160.31,146.25
2017M08,13.23,7799.19,103199.17,7724.11,102205.79,661.54,38889,43768.32,33965.83,4.36,10.25,9.12,167.16,146.4
2017M09,13.16,7761.13,102150.48,7810.59,102801.49,661.5,41424,44318.4,34351.03,4.4,10.25,9.04,168.34,147.11
2017M10,13.71,7601.5,104205.42,7661.57,105028.95,656.62,41018,44003.77,34206.03,4.41,10.25,9.4,175.15,147.53
2017M11,14.06,8264.55,116185.99,7704.4,108311.23,654.14,42372,42813.27,32917.8,4.42,10.25,9.77,178.42,147.67
2017M12,13.25,7874.08,104320.26,7068.85,93652.18,638.23,42735,47101.71,37918.26,4.44,10.25,9.47,170.16,148.38
