Name,Age,Nationality,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions,Preferred Positions Type
T. Courtois,25,Belgium,89.0,46.0,23.0,61.0,45.0,23.0,52.0,14.0,19.0,13.0,14.0,11.0,85.0,91.0,69.0,86.0,88.0,13.0,15.0,68.0,31.0,17.0,11.0,27.0,13.0,81.0,32.0,36.0,16.0,52.0,38.0,18.0,70.0,44.0,12.0,GK ,GoalKeeper
A. Sánchez,28,Chile,89.0,88.0,80.0,90.0,87.0,87.0,86.0,80.0,78.0,90.0,85.0,78.0,10.0,10.0,15.0,12.0,13.0,70.0,42.0,85.0,73.0,82.0,30.0,77.0,86.0,87.0,81.0,84.0,35.0,84.0,85.0,39.0,72.0,83.0,83.0,RM LW ST LM ,Midfielder
L. Modri?,31,Croatia,89.0,75.0,62.0,93.0,94.0,92.0,84.0,78.0,79.0,86.0,71.0,77.0,13.0,9.0,7.0,14.0,9.0,55.0,76.0,67.0,83.0,82.0,66.0,80.0,79.0,88.0,92.0,73.0,73.0,71.0,82.0,80.0,58.0,90.0,74.0,CDM CM ,Midfielder
G. Bale,27,Wales,89.0,93.0,65.0,77.0,65.0,87.0,85.0,87.0,86.0,89.0,87.0,85.0,15.0,15.0,11.0,5.0,6.0,86.0,59.0,85.0,80.0,90.0,51.0,76.0,86.0,87.0,86.0,91.0,52.0,95.0,76.0,55.0,80.0,79.0,76.0,RW ,Forward
S. Agüero,29,Argentina,89.0,90.0,63.0,86.0,91.0,89.0,90.0,70.0,82.0,89.0,90.0,72.0,13.0,15.0,6.0,11.0,14.0,68.0,24.0,80.0,63.0,83.0,13.0,83.0,91.0,89.0,79.0,88.0,12.0,84.0,74.0,20.0,74.0,83.0,85.0,ST ,Forward
G. Chiellini,32,Italy,89.0,68.0,92.0,59.0,64.0,57.0,82.0,58.0,60.0,58.0,33.0,31.0,3.0,3.0,2.0,4.0,3.0,84.0,88.0,89.0,59.0,49.0,92.0,50.0,28.0,82.0,59.0,78.0,90.0,78.0,68.0,92.0,91.0,50.0,45.0,CB ,Back
G. Buffon,39,Italy,89.0,49.0,38.0,55.0,49.0,28.0,70.0,13.0,20.0,26.0,15.0,13.0,89.0,88.0,74.0,90.0,84.0,13.0,28.0,75.0,35.0,13.0,10.0,22.0,12.0,80.0,37.0,39.0,11.0,43.0,39.0,11.0,69.0,50.0,17.0,GK ,GoalKeeper
P. Dybala,23,Argentina,88.0,88.0,48.0,91.0,85.0,93.0,84.0,80.0,88.0,92.0,85.0,84.0,5.0,4.0,4.0,5.0,8.0,68.0,24.0,75.0,71.0,88.0,14.0,86.0,84.0,84.0,83.0,82.0,20.0,84.0,83.0,20.0,65.0,84.0,88.0,ST CAM ,Midfielder
J. Oblak,24,Slovenia,88.0,43.0,34.0,67.0,49.0,16.0,55.0,13.0,13.0,12.0,11.0,14.0,84.0,90.0,77.0,87.0,84.0,15.0,19.0,76.0,26.0,12.0,14.0,11.0,11.0,84.0,29.0,22.0,18.0,60.0,41.0,12.0,78.0,55.0,13.0,GK ,GoalKeeper
A. Griezmann,26,France,88.0,87.0,69.0,90.0,80.0,86.0,86.0,82.0,84.0,87.0,88.0,75.0,14.0,8.0,14.0,13.0,14.0,80.0,35.0,87.0,75.0,82.0,23.0,71.0,91.0,90.0,79.0,81.0,11.0,86.0,76.0,22.0,61.0,76.0,87.0,LW RW ST ,Forward
Thiago,26,Spain,88.0,77.0,57.0,90.0,86.0,92.0,83.0,72.0,85.0,90.0,69.0,77.0,6.0,11.0,7.0,9.0,13.0,58.0,78.0,75.0,90.0,82.0,49.0,75.0,83.0,84.0,91.0,75.0,62.0,68.0,75.0,64.0,59.0,86.0,90.0,CDM CAM CM ,Midfielder
P. Aubameyang,28,Gabon,88.0,95.0,43.0,77.0,70.0,82.0,84.0,77.0,78.0,82.0,88.0,74.0,6.0,9.0,15.0,9.0,9.0,79.0,48.0,77.0,64.0,79.0,28.0,79.0,89.0,87.0,77.0,81.0,36.0,96.0,79.0,25.0,77.0,77.0,86.0,ST ,Forward
L. Bonucci,30,Italy,88.0,62.0,82.0,60.0,52.0,75.0,84.0,44.0,56.0,69.0,39.0,61.0,2.0,2.0,3.0,2.0,4.0,88.0,90.0,85.0,85.0,65.0,84.0,70.0,38.0,86.0,79.0,74.0,88.0,72.0,73.0,88.0,85.0,74.0,58.0,CB ,Back
J. Boateng,28,Germany,88.0,72.0,82.0,58.0,53.0,71.0,86.0,69.0,56.0,67.0,34.0,31.0,7.0,12.0,15.0,6.0,5.0,85.0,83.0,75.0,80.0,58.0,88.0,46.0,47.0,82.0,75.0,79.0,90.0,78.0,74.0,91.0,91.0,76.0,53.0,CB ,Back
D. Godín,31,Uruguay,88.0,62.0,86.0,63.0,58.0,76.0,82.0,55.0,49.0,53.0,42.0,51.0,6.0,8.0,15.0,5.0,15.0,92.0,88.0,89.0,70.0,43.0,87.0,50.0,48.0,85.0,79.0,67.0,89.0,67.0,67.0,86.0,80.0,52.0,47.0,CB ,Back
M. Hummels,28,Germany,88.0,62.0,66.0,64.0,58.0,77.0,91.0,64.0,65.0,68.0,55.0,53.0,15.0,6.0,10.0,5.0,6.0,89.0,89.0,68.0,85.0,51.0,85.0,68.0,56.0,85.0,80.0,71.0,90.0,65.0,66.0,92.0,85.0,79.0,60.0,CB ,Back
M. Özil,28,Germany,88.0,75.0,48.0,83.0,70.0,90.0,78.0,82.0,84.0,86.0,74.0,79.0,6.0,14.0,10.0,6.0,14.0,54.0,24.0,52.0,84.0,76.0,22.0,67.0,83.0,87.0,89.0,70.0,19.0,68.0,69.0,16.0,57.0,92.0,77.0,RW CAM ,Midfielder
H. Lloris,30,France,88.0,65.0,31.0,55.0,54.0,34.0,61.0,13.0,11.0,10.0,10.0,10.0,88.0,86.0,68.0,82.0,90.0,10.0,27.0,74.0,50.0,14.0,12.0,40.0,10.0,85.0,50.0,23.0,18.0,63.0,41.0,10.0,43.0,30.0,11.0,GK ,GoalKeeper
Thiago Silva,32,Brazil,88.0,70.0,77.0,74.0,68.0,80.0,83.0,60.0,61.0,68.0,38.0,67.0,9.0,12.0,5.0,9.0,10.0,82.0,89.0,93.0,81.0,71.0,90.0,71.0,59.0,84.0,79.0,74.0,88.0,74.0,74.0,89.0,81.0,74.0,63.0,CB ,Back
Z. Ibrahimovi?,35,Sweden,88.0,63.0,84.0,81.0,41.0,88.0,91.0,76.0,82.0,82.0,87.0,82.0,13.0,15.0,10.0,9.0,12.0,80.0,20.0,69.0,76.0,85.0,15.0,91.0,86.0,86.0,84.0,91.0,27.0,67.0,71.0,41.0,88.0,83.0,90.0,ST ,Forward
A. Robben,33,Netherlands,88.0,87.0,47.0,89.0,91.0,89.0,86.0,80.0,87.0,92.0,85.0,81.0,10.0,8.0,11.0,5.0,15.0,51.0,39.0,61.0,71.0,88.0,29.0,80.0,85.0,87.0,84.0,87.0,26.0,86.0,68.0,26.0,67.0,83.0,86.0,RW RM ,Midfielder
N. Kanté,26,France,87.0,82.0,90.0,83.0,90.0,79.0,84.0,67.0,49.0,77.0,65.0,49.0,15.0,12.0,10.0,7.0,10.0,54.0,91.0,79.0,79.0,66.0,75.0,54.0,71.0,87.0,84.0,72.0,85.0,80.0,94.0,89.0,77.0,76.0,56.0,CM CDM ,Midfielder
M. Verratti,24,Italy,87.0,69.0,89.0,87.0,94.0,88.0,91.0,72.0,73.0,90.0,58.0,64.0,12.0,12.0,15.0,15.0,10.0,55.0,86.0,64.0,89.0,58.0,76.0,64.0,71.0,87.0,90.0,56.0,79.0,62.0,77.0,84.0,56.0,88.0,64.0,CDM CM ,Midfielder
P. Pogba,24,France,87.0,72.0,75.0,76.0,61.0,89.0,85.0,78.0,84.0,86.0,71.0,82.0,5.0,6.0,2.0,4.0,3.0,73.0,68.0,85.0,88.0,82.0,66.0,76.0,83.0,84.0,86.0,90.0,66.0,76.0,91.0,68.0,91.0,86.0,85.0,CDM CM ,Midfielder
C. Eriksen,25,Denmark,87.0,77.0,44.0,78.0,82.0,87.0,87.0,86.0,85.0,84.0,76.0,87.0,9.0,14.0,7.0,7.0,6.0,52.0,55.0,57.0,86.0,84.0,38.0,67.0,81.0,83.0,89.0,80.0,22.0,74.0,90.0,56.0,57.0,90.0,74.0,LM RM CAM ,Midfielder
A. Vidal,30,Chile,87.0,76.0,93.0,75.0,77.0,83.0,86.0,76.0,76.0,76.0,77.0,68.0,4.0,2.0,4.0,2.0,4.0,81.0,85.0,82.0,82.0,85.0,76.0,81.0,80.0,89.0,84.0,86.0,85.0,74.0,91.0,89.0,77.0,80.0,78.0,CM CDM ,Midfielder
E. Cavani,30,Uruguay,87.0,75.0,84.0,81.0,59.0,80.0,83.0,70.0,75.0,80.0,83.0,74.0,12.0,5.0,13.0,13.0,10.0,88.0,48.0,88.0,50.0,78.0,24.0,84.0,92.0,91.0,78.0,85.0,27.0,78.0,92.0,45.0,74.0,77.0,84.0,ST ,Forward
Marcelo,29,Brazil,87.0,77.0,84.0,77.0,82.0,88.0,85.0,90.0,80.0,84.0,67.0,67.0,12.0,5.0,5.0,5.0,9.0,71.0,83.0,77.0,76.0,66.0,80.0,59.0,75.0,87.0,82.0,83.0,87.0,79.0,81.0,85.0,77.0,75.0,54.0,LB ,Back
M. Hamšík,29,Slovakia,87.0,72.0,56.0,76.0,66.0,87.0,84.0,78.0,80.0,86.0,78.0,72.0,8.0,6.0,4.0,14.0,14.0,74.0,72.0,71.0,82.0,83.0,60.0,70.0,88.0,88.0,88.0,82.0,62.0,75.0,85.0,73.0,69.0,86.0,79.0,CM ,Midfielder
I. Rakiti?,29,Croatia,87.0,67.0,67.0,72.0,66.0,87.0,81.0,81.0,88.0,84.0,83.0,84.0,14.0,11.0,12.0,5.0,9.0,58.0,69.0,44.0,92.0,88.0,52.0,78.0,80.0,79.0,87.0,84.0,53.0,64.0,76.0,65.0,63.0,87.0,80.0,CM ,Midfielder
David Silva,31,Spain,87.0,72.0,51.0,92.0,89.0,90.0,92.0,83.0,82.0,84.0,71.0,75.0,1.0,1.0,1.0,1.0,1.0,54.0,43.0,66.0,79.0,73.0,25.0,73.0,81.0,84.0,91.0,71.0,29.0,65.0,78.0,44.0,56.0,92.0,79.0,LM CM CAM ,Midfielder
S. Handanovi?,32,Slovenia,87.0,54.0,25.0,42.0,36.0,24.0,62.0,12.0,12.0,18.0,10.0,14.0,87.0,86.0,69.0,87.0,87.0,10.0,22.0,78.0,34.0,19.0,17.0,23.0,12.0,83.0,36.0,22.0,13.0,57.0,41.0,10.0,71.0,41.0,12.0,GK ,GoalKeeper
Piqué,30,Spain,87.0,55.0,72.0,58.0,42.0,78.0,86.0,57.0,58.0,59.0,64.0,43.0,10.0,11.0,14.0,15.0,8.0,83.0,88.0,74.0,80.0,51.0,86.0,69.0,58.0,84.0,81.0,62.0,86.0,73.0,66.0,87.0,83.0,62.0,57.0,CB ,Back
Iniesta,33,Spain,87.0,72.0,58.0,79.0,84.0,94.0,89.0,77.0,80.0,90.0,70.0,70.0,6.0,13.0,6.0,13.0,7.0,54.0,66.0,52.0,86.0,71.0,57.0,71.0,84.0,88.0,92.0,65.0,56.0,71.0,58.0,57.0,58.0,94.0,74.0,LM CM ,Midfielder
H. Kane,23,England,86.0,68.0,74.0,73.0,62.0,82.0,84.0,70.0,71.0,78.0,90.0,66.0,8.0,10.0,11.0,14.0,11.0,83.0,35.0,70.0,67.0,84.0,41.0,84.0,89.0,87.0,75.0,87.0,38.0,74.0,85.0,36.0,86.0,75.0,73.0,ST ,Forward
J. Rodríguez,25,Colombia,86.0,77.0,65.0,82.0,75.0,85.0,87.0,88.0,87.0,83.0,82.0,86.0,15.0,15.0,15.0,5.0,14.0,62.0,55.0,54.0,80.0,91.0,25.0,81.0,80.0,84.0,84.0,86.0,30.0,75.0,68.0,42.0,70.0,86.0,91.0,RM CM CAM ,Midfielder
Isco,25,Spain,86.0,74.0,58.0,83.0,85.0,91.0,86.0,72.0,86.0,90.0,88.0,74.0,10.0,8.0,12.0,15.0,6.0,55.0,70.0,64.0,85.0,87.0,25.0,76.0,83.0,79.0,86.0,72.0,51.0,69.0,71.0,73.0,59.0,84.0,64.0,LM RM CAM CM ,Midfielder
D. Alaba,25,Austria,86.0,86.0,69.0,79.0,77.0,83.0,79.0,82.0,78.0,79.0,63.0,85.0,5.0,7.0,14.0,15.0,9.0,75.0,85.0,82.0,80.0,83.0,81.0,80.0,77.0,84.0,83.0,83.0,83.0,86.0,87.0,83.0,69.0,78.0,68.0,CM CB LB ,Back
R. Lukaku,24,Belgium,86.0,76.0,72.0,62.0,47.0,75.0,84.0,68.0,72.0,77.0,89.0,66.0,8.0,15.0,14.0,7.0,10.0,87.0,27.0,71.0,68.0,75.0,27.0,82.0,87.0,85.0,71.0,88.0,30.0,89.0,80.0,30.0,93.0,73.0,76.0,ST ,Forward
Alex Sandro,26,Brazil,86.0,84.0,82.0,79.0,79.0,81.0,82.0,86.0,78.0,82.0,55.0,59.0,7.0,7.0,9.0,12.0,5.0,76.0,82.0,79.0,71.0,72.0,78.0,60.0,70.0,86.0,81.0,80.0,84.0,88.0,93.0,84.0,80.0,70.0,68.0,LM LB ,Back
T. Müller,27,Germany,86.0,76.0,57.0,76.0,72.0,82.0,83.0,77.0,81.0,75.0,87.0,59.0,6.0,7.0,11.0,14.0,14.0,82.0,58.0,81.0,68.0,77.0,31.0,60.0,93.0,92.0,81.0,77.0,44.0,78.0,90.0,41.0,67.0,81.0,83.0,ST CAM RW CF ,GoalKeeper
Sergio Busquets,28,Spain,86.0,48.0,85.0,58.0,55.0,80.0,88.0,62.0,66.0,74.0,60.0,68.0,5.0,8.0,13.0,9.0,13.0,68.0,86.0,66.0,79.0,54.0,81.0,60.0,77.0,82.0,88.0,61.0,80.0,34.0,88.0,85.0,77.0,84.0,44.0,CM CDM ,Midfielder
Coutinho,25,Brazil,86.0,88.0,55.0,92.0,92.0,88.0,85.0,77.0,84.0,88.0,74.0,82.0,12.0,7.0,9.0,14.0,6.0,47.0,30.0,59.0,78.0,86.0,24.0,64.0,83.0,81.0,85.0,80.0,40.0,77.0,80.0,44.0,61.0,87.0,75.0,CAM LW ,Forward
M. Reus,28,Germany,86.0,86.0,49.0,86.0,81.0,85.0,83.0,80.0,90.0,86.0,86.0,84.0,12.0,12.0,13.0,13.0,11.0,49.0,50.0,72.0,80.0,88.0,30.0,87.0,86.0,87.0,86.0,87.0,46.0,90.0,68.0,36.0,67.0,86.0,88.0,LW ST LM ,Midfielder
T. Alderweireld,28,Belgium,86.0,62.0,81.0,60.0,50.0,70.0,81.0,64.0,63.0,62.0,45.0,69.0,16.0,6.0,14.0,16.0,14.0,82.0,84.0,81.0,81.0,66.0,89.0,60.0,56.0,86.0,77.0,86.0,85.0,69.0,76.0,90.0,82.0,67.0,38.0,CB ,Back
David Luiz,30,Brazil,86.0,68.0,86.0,72.0,56.0,79.0,78.0,68.0,70.0,66.0,55.0,76.0,11.0,12.0,10.0,7.0,14.0,83.0,87.0,80.0,78.0,71.0,80.0,75.0,54.0,79.0,79.0,77.0,84.0,71.0,76.0,85.0,81.0,69.0,64.0,CB ,Back
Diego Costa,28,Spain,86.0,74.0,93.0,58.0,52.0,83.0,84.0,65.0,62.0,77.0,88.0,59.0,11.0,13.0,12.0,8.0,11.0,83.0,40.0,64.0,52.0,73.0,28.0,76.0,88.0,86.0,67.0,84.0,34.0,75.0,83.0,39.0,91.0,74.0,81.0,ST ,Forward
R. Nainggolan,29,Belgium,86.0,80.0,88.0,81.0,84.0,85.0,85.0,73.0,73.0,80.0,76.0,68.0,11.0,11.0,14.0,8.0,11.0,59.0,86.0,76.0,81.0,86.0,78.0,63.0,88.0,87.0,84.0,84.0,88.0,76.0,94.0,86.0,76.0,76.0,75.0,CAM CM ,Midfielder
Javi Martínez,28,Spain,86.0,49.0,91.0,54.0,58.0,71.0,83.0,60.0,54.0,62.0,53.0,45.0,5.0,12.0,9.0,11.0,8.0,90.0,86.0,83.0,74.0,63.0,84.0,52.0,57.0,84.0,75.0,76.0,87.0,50.0,64.0,87.0,84.0,74.0,61.0,CDM CB ,Back
D. Mertens,30,Belgium,86.0,93.0,59.0,94.0,92.0,88.0,81.0,77.0,81.0,89.0,85.0,77.0,7.0,10.0,8.0,10.0,4.0,35.0,36.0,60.0,74.0,81.0,30.0,78.0,85.0,85.0,81.0,80.0,40.0,87.0,75.0,40.0,42.0,82.0,70.0,ST LW CF ,GoalKeeper
Sokratis,29,Greece,86.0,71.0,91.0,62.0,68.0,58.0,82.0,47.0,36.0,58.0,44.0,35.0,6.0,8.0,5.0,12.0,5.0,87.0,80.0,87.0,64.0,48.0,88.0,33.0,50.0,81.0,64.0,79.0,86.0,84.0,74.0,90.0,86.0,52.0,46.0,CB ,Back
Miranda,32,Brazil,86.0,67.0,83.0,61.0,57.0,72.0,84.0,48.0,32.0,65.0,43.0,39.0,12.0,6.0,10.0,13.0,12.0,83.0,88.0,82.0,69.0,41.0,89.0,49.0,43.0,82.0,70.0,70.0,86.0,74.0,65.0,90.0,80.0,58.0,51.0,CB ,Back
K. Benzema,29,France,86.0,77.0,65.0,77.0,60.0,86.0,82.0,75.0,79.0,82.0,87.0,73.0,13.0,11.0,5.0,5.0,7.0,78.0,22.0,70.0,47.0,77.0,13.0,82.0,87.0,83.0,86.0,83.0,12.0,78.0,73.0,15.0,78.0,85.0,79.0,ST ,Forward
Cesc Fàbregas,30,Spain,86.0,65.0,45.0,65.0,77.0,86.0,92.0,85.0,77.0,80.0,76.0,81.0,6.0,10.0,8.0,15.0,15.0,74.0,50.0,68.0,90.0,75.0,60.0,80.0,78.0,81.0,91.0,77.0,62.0,62.0,80.0,63.0,64.0,91.0,81.0,CAM CDM CM ,Midfielder
F. Ribéry,34,France,86.0,85.0,52.0,88.0,91.0,90.0,86.0,81.0,83.0,90.0,76.0,81.0,15.0,6.0,9.0,7.0,10.0,41.0,36.0,34.0,75.0,75.0,13.0,78.0,81.0,86.0,86.0,76.0,26.0,79.0,64.0,25.0,60.0,86.0,80.0,LW LM ,Midfielder
Pepe,34,Portugal,86.0,65.0,94.0,63.0,49.0,62.0,77.0,46.0,44.0,58.0,46.0,47.0,8.0,15.0,5.0,9.0,10.0,80.0,86.0,76.0,61.0,56.0,86.0,57.0,40.0,83.0,70.0,63.0,87.0,70.0,62.0,86.0,84.0,48.0,23.0,CB ,Back
P. ?ech,35,Czech Republic,86.0,40.0,17.0,49.0,34.0,22.0,70.0,19.0,13.0,12.0,12.0,19.0,82.0,87.0,76.0,83.0,81.0,19.0,23.0,51.0,33.0,11.0,11.0,23.0,13.0,84.0,35.0,21.0,12.0,44.0,32.0,13.0,65.0,53.0,17.0,GK ,GoalKeeper
Y. Carrasco,23,Belgium,85.0,87.0,61.0,91.0,71.0,86.0,75.0,80.0,81.0,91.0,79.0,78.0,9.0,11.0,9.0,10.0,10.0,53.0,18.0,68.0,74.0,75.0,19.0,74.0,82.0,83.0,79.0,84.0,26.0,89.0,73.0,39.0,59.0,74.0,68.0,RM LM ,Midfielder
R. Varane,24,France,85.0,77.0,77.0,58.0,47.0,77.0,82.0,36.0,46.0,57.0,40.0,54.0,11.0,11.0,9.0,5.0,14.0,83.0,82.0,80.0,76.0,53.0,84.0,43.0,44.0,81.0,75.0,52.0,85.0,81.0,68.0,86.0,85.0,56.0,42.0,CB ,Back
Casemiro,25,Brazil,85.0,63.0,87.0,66.0,57.0,78.0,86.0,52.0,59.0,69.0,59.0,74.0,13.0,14.0,16.0,12.0,12.0,74.0,86.0,87.0,84.0,77.0,83.0,66.0,66.0,83.0,82.0,86.0,86.0,61.0,85.0,87.0,85.0,76.0,53.0,CDM ,Midfielder
L. Insigne,26,Italy,85.0,94.0,34.0,96.0,93.0,90.0,78.0,83.0,83.0,88.0,73.0,77.0,8.0,4.0,14.0,9.0,10.0,56.0,26.0,53.0,73.0,80.0,16.0,61.0,83.0,80.0,83.0,70.0,22.0,86.0,75.0,24.0,44.0,87.0,74.0,LW ,Forward
A. Lacazette,26,France,85.0,84.0,70.0,87.0,84.0,84.0,86.0,64.0,74.0,85.0,87.0,71.0,11.0,6.0,9.0,5.0,6.0,72.0,40.0,76.0,59.0,76.0,23.0,84.0,87.0,85.0,79.0,81.0,30.0,87.0,80.0,42.0,79.0,74.0,82.0,ST ,Forward
K. Navas,30,Costa Rica,85.0,54.0,32.0,60.0,61.0,19.0,49.0,11.0,11.0,16.0,15.0,15.0,87.0,82.0,72.0,80.0,85.0,11.0,20.0,74.0,37.0,13.0,12.0,25.0,16.0,82.0,30.0,21.0,14.0,53.0,39.0,14.0,75.0,54.0,11.0,GK ,GoalKeeper
H. Mkhitaryan,28,Armenia,85.0,88.0,69.0,89.0,85.0,87.0,79.0,79.0,83.0,87.0,77.0,64.0,5.0,11.0,14.0,5.0,7.0,53.0,64.0,71.0,72.0,75.0,49.0,72.0,82.0,82.0,84.0,87.0,55.0,84.0,86.0,53.0,63.0,85.0,81.0,LM RW RM ,Midfielder
D. Subaši?,32,Croatia,85.0,51.0,31.0,42.0,37.0,19.0,65.0,11.0,24.0,11.0,10.0,66.0,84.0,79.0,79.0,85.0,87.0,13.0,20.0,75.0,26.0,14.0,15.0,23.0,15.0,82.0,24.0,24.0,13.0,54.0,32.0,14.0,80.0,52.0,13.0,GK ,GoalKeeper
B. Leno,25,Germany,85.0,46.0,28.0,52.0,44.0,22.0,62.0,9.0,9.0,16.0,9.0,8.0,85.0,84.0,74.0,85.0,83.0,13.0,22.0,73.0,33.0,14.0,8.0,23.0,7.0,81.0,37.0,23.0,18.0,52.0,43.0,15.0,68.0,53.0,10.0,GK ,GoalKeeper
M. ter Stegen,25,Germany,85.0,38.0,43.0,37.0,43.0,18.0,62.0,15.0,18.0,17.0,14.0,12.0,84.0,83.0,87.0,81.0,86.0,11.0,22.0,79.0,38.0,10.0,10.0,25.0,11.0,82.0,30.0,22.0,10.0,50.0,35.0,13.0,79.0,57.0,14.0,GK ,GoalKeeper
K. Glik,29,Poland,85.0,53.0,86.0,34.0,55.0,59.0,79.0,29.0,35.0,51.0,27.0,26.0,10.0,14.0,5.0,8.0,10.0,85.0,87.0,82.0,59.0,20.0,85.0,39.0,24.0,79.0,63.0,57.0,83.0,58.0,72.0,87.0,90.0,23.0,17.0,CB ,Back
Jordi Alba,28,Spain,85.0,93.0,75.0,90.0,86.0,83.0,75.0,82.0,77.0,80.0,73.0,64.0,13.0,15.0,13.0,6.0,13.0,63.0,83.0,81.0,70.0,66.0,81.0,59.0,77.0,82.0,79.0,64.0,83.0,93.0,90.0,84.0,60.0,68.0,60.0,LB ,Back
I. Gündo?an,26,Germany,85.0,73.0,68.0,83.0,81.0,88.0,86.0,74.0,81.0,87.0,72.0,74.0,11.0,14.0,5.0,5.0,13.0,49.0,79.0,62.0,83.0,74.0,57.0,76.0,79.0,87.0,88.0,77.0,64.0,70.0,71.0,67.0,74.0,87.0,75.0,CDM CM ,Midfielder
